"null","hour","location","rate","resp_time","social"
"","7","43.70425434,-72.29121363","3","1364838041","2"
"7","","","","1364121521",""
"6","","","","1364121526",""
"43.70644277,-72.28745909","","","","1364121568",""
"3","","","","1364121523",""
"7","","","","1364121525",""
"3","","","","1364121565",""
"","6","43.70605071,-72.28863023","2","1364417706","2"
"","7","43.70704086,-72.28731294","2","1364492939","3"
"","7","43.70465195,-72.29099209","3","1364577324","1"
"","7","43.70406856,-72.29058126","2","1364675997","2"
"","6","43.70470793,-72.29118335","3","1364755376","1"
"","6","43.70629105,-72.28869027","3","1365010863","3"
"","6","43.70467368,-72.29087023","2","1365486873","1"
"","6","43.7046699,-72.29098352","2","1365486871","2"
"","6","43.70512967,-72.28920458","2","1365486867","1"
"","0","43.70426189,-72.29088555","4","1365486863","2"
"","4","43.70533787,-72.28805256","3","1365486864","2"
"","5","43.70629105,-72.28869027","2","1365486860","2"
"","3","43.70434729,-72.29081836","2","1365789721","3"
"","5","43.70556943,-72.28809499","3","1365616640","3"
"","4","43.70380893,-72.28772947","2","1365702370","3"
"","8","43.70459704,-72.29138802","1","1365881544","3"
"","4","Unknown","3","1366045892","2"
"","4","43.70495522,-72.29090614","3","1366132161","3"
"","5","43.70495522,-72.29090614","3","1366156291","3"
"","5","43.70495522,-72.29090614","3","1366221525","2"
"","5","43.70460031,-72.29111515","3","1366307232","1"
"","5","43.70237732,-72.28914013","4","1366338994","2"
"","4","43.70477525,-72.2912571","3","1366394243","1"
"","8","Unknown","3","1366487213","2"
"","6","Unknown","2","1366582222","2"
"","4","43.7060191,-72.28758328","2","1366996143","2"
"","5","43.70366438,-72.2901632","3","1367108624","2"
"","4","Unknown","2","1367210034","3"
"","5","43.7046102,-72.29099328","2","1367430164","3"
"","5","43.70405489,-72.28757532","3","1367603775","2"
"","4","43.70418222,-72.29064333","2","1367949437","2"
"","1","43.70632774,-72.28670996","3","1368035185","3"
"","9","43.70419436,-72.29111957","2","1368784376","3"
"","1","43.70673393,-72.28776049","3","1368582586","4"
"","1","43.704622379999996,-72.29115798","4","1368644189","4"
"","3","43.70440021,-72.29112204","4","1368467681","3"
"","3","43.70551279,-72.29153409","3","1368905125","3"
"","2","43.70551279,-72.29153409","4","1369075558","4"
"","10","43.70583041,-72.28925846","2","1370101099","4"
