"hour","location","rate","null","resp_time","social"
"","","","7","1364121772",""
"","","","4","1364121773",""
"","","","43.70633795,-72.28708513","1364121775",""
"","","","1","1364121848",""
"","","","2","1364121776",""
"","","","1","1364121853",""
"7","43.70300616,-72.28763907","1","","1364839378","3"
"8","43.70687522,-72.28935409","1","","1364407331","1"
"9","43.70687522,-72.28935409","1","","1364403733","2"
"7","43.70712161,-72.28902635","1","","1364577116","1"
"8","43.70725878,-72.28908602999999","1","","1364491032","1"
"7","43.70740815,-72.28911409","2","","1364571443","2"
"7","43.70730033,-72.28913193","1","","1364749310","2"
"9","43.70736968,-72.28918996","1","","1364922173","2"
"5","43.70759124,-72.28920206","2","","1365007602","2"
"5","43.70294491,-72.28786798","2","","1365012025","1"
"9","43.70730177,-72.28915579","1","","1365394294","1"
"5","43.70500601,-72.28802766","3","","1365182224","3"
"8","43.70760886,-72.28913276","1","","1365269856","1"
"5","43.70605791,-72.28694024","1","","1365185610","1"
"7","43.70518901,-72.2895567","1","","1365441385","2"
"7","43.70741131,-72.28909446","1","","1365551668","1"
"5","43.70489004,-72.28783747","4","","1365617169","2"
"5","43.70288021,-72.29096487","4","","1365703903","3"
"5","43.70730854,-72.287476","3","","1365710892","4"
"0","43.70815083,-72.28904366","4","","1365802554","3"
"5","43.70736373,-72.28909608","1","","1365966372","1"
"7","43.70739738,-72.28890727","2","","1366223478","3"
"6","43.70739738,-72.28890727","2","","1366305176","2"
"6","43.70264346,-72.28707","1","","1366341939","2"
"6","43.70747855,-72.28919547","2","","1366561166","1"
"9","43.70747855,-72.28919547","1","","1366560470","3"
"7","43.70747855,-72.28919547","1","","1366569150","1"
"0","43.70675911,-72.28704289","4","","1367341725","1"
"4","43.70562403,-72.28962377","2","","1367515873","2"
"7","43.70739317,-72.28896594","3","","1367602295","1"
"8","43.70704503,-72.2889001","1","","1368639074","1"
"1","43.70732876,-72.28925613","1","","1369597760","1"
"1","Unknown","1","","1369847473","1"
