"hour","location","rate","resp_time","social"
"5","43.70716466,-72.28877446","2","1364666543","1"
"9","43.70283143,-72.28972714","1","1364407283","1"
"7","43.70695709,-72.2889774","2","1364493616","1"
"9","43.70719154,-72.28893742","2","1364577202","1"
"7","43.70699391,-72.28861928","2","1364749569","1"
"7","43.7070462,-72.28848992","1","1364923051","1"
"8","43.70703349,-72.28843848","1","1364835627","1"
"7","43.70726477,-72.28852991","2","1365008499","1"
"7","43.7070314,-72.28839927","1","1365097488","1"
"7","43.70707371,-72.28883426","2","1365181229","1"
"5","Unknown","3","1365293322","1"
"7","Unknown","3","1365379429","2"
"5","42.23578722,-83.33754082","3","1365441953","1"
"9","43.70719012,-72.2888733","1","1365531713","2"
"8","43.70725349,-72.28839747","1","1365614238","1"
"8","43.70712725,-72.28845074","2","1365700386","1"
"9","43.70706396,-72.28897457","2","1365833052","1"
"7","43.70705136,-72.28843485","2","1365873622","1"
"9","43.70716593,-72.28890086","2","1365958831","1"
"8","43.70723585,-72.28841302","3","1366046783","1"
"8","43.70717627,-72.28852962","2","1366136500","1"
"6","43.70729692,-72.2885815","4","1366226871","1"
"10","43.70692919,-72.28846759","1","1366306271","1"
"5","43.81122389,-72.15728455","2","1366483746","1"
"5","43.70716806,-72.28866449","2","1366565241","1"
"8","43.70701255,-72.28865971","1","1366743901","1"
"8","43.70721595,-72.28866405","2","1366651577","1"
"5","43.70712999,-72.28865702","1","1366825105","1"
"6","43.70488035,-72.29116269","2","1367093520","1"
"6","43.70713458,-72.2881041","2","1367278370","1"
"5","43.70722552,-72.28844694","3","1367342781","2"
"6","43.70710859,-72.2886006","3","1367429589","1"
"8","43.70711822,-72.28858793","2","1367516308","1"
"6","43.70709725,-72.28867937","2","1367776166","1"
"10","43.70711182,-72.28819371","2","1368552889","1"
"10","43.70706783,-72.2885488","1","1368120809","1"
"12","43.70473921,-72.28950019","1","1368466332","1"
"9","43.7071288,-72.28941802","2","1368640570","1"
"7","43.70689213,-72.28923384","2","1367947902","1"
"10","43.70701678,-72.2889594","1","1367863487","1"
"11","43.7070207,-72.28830805","2","1368207087","1"
"8","43.70699407,-72.28841365","2","1368034325","1"
"6","43.70705911,-72.28865321","2","1367694773","1"
"9","43.70708212,-72.28839628","2","1368381666","1"
"11","43.70696151,-72.28906057","1","1368729278","1"
"9","43.70673718,-72.28846184","2","1368987598","1"
"12","43.70719384,-72.28862744","3","1368812591","1"
"5","43.70703477,-72.28857214","3","1368906042","1"
"9","43.70304196,-72.28932574","3","1369072014","1"
"9","43.70668699,-72.28726705","2","1369157884","1"
"9","43.70721163,-72.28886462","2","1369243976","1"
"10","43.707001,-72.28873383","2","1369330282","1"
"7","43.70696068,-72.28886495","2","1369416693","1"
"1","43.7066534,-72.28722533","1","1370021330","1"
"5","43.70722646,-72.28884523","2","1369502363","1"
"3","43.70636826,-72.286902","2","1369587865","1"
"3","43.70708929,-72.28882886","4","1369760678","1"
"7","43.70710587,-72.28884407","2","1370283388","1"
"6","43.70713643,-72.28841499","2","1370372163","1"
"2","43.70712821,-72.2934383","1","1370113782","1"
"17","43.70723573,-72.28867028","1","1370199179","1"
